algo,exp_label,req_id,src,dst,sp_hop,chosen_hop,detour,in_path_set,tree_depth,purify_rounds,fidelity,prob,finish_t,outcome
SP_balanced,tao=0.010000 Round=0,18,21,15,3,3,0,1,2,1|1|1,0.843886,0.596443,8,accepted
SP_balanced,tao=0.010000 Round=0,19,12,14,2,2,0,1,1,0|0,0.849304,0.9,5,accepted
SP_balanced,tao=0.010000 Round=0,20,23,16,3,3,0,1,2,1|1|1,0.844197,0.596737,5,accepted
SP_balanced,tao=0.010000 Round=0,21,17,3,4,4,0,1,2,1|1|1|1,0.803085,0.488812,12,accepted
SP_balanced,tao=0.010000 Round=0,22,9,15,4,4,0,1,2,1|1|1|1,0.801112,0.486771,12,accepted
SP_balanced,tao=0.010000 Round=0,23,24,29,4,4,0,1,2,2|2|2|2,0.823315,0.337175,12,accepted
SP_balanced,tao=0.010000 Round=0,24,21,13,2,2,0,1,1,0|0,0.894328,0.9,7,accepted
SP_balanced,tao=0.010000 Round=0,25,24,12,4,NA,NA,NA,NA,NA,NA,NA,NA,fail_mem
SP_balanced,tao=0.010000 Round=0,26,29,11,4,5,1,0,3,2|2|2|2|2,0.807395,0.27797,10,accepted
SP_balanced,tao=0.010000 Round=0,27,0,23,4,4,0,1,2,1|1|1|1,0.819501,0.50641,12,accepted
SP_balanced,tao=0.010000 Round=0,28,15,11,4,NA,NA,NA,NA,NA,NA,NA,NA,fail_fid
SP_balanced,tao=0.010000 Round=0,29,17,20,3,NA,NA,NA,NA,NA,NA,NA,NA,fail_mem
ZFA_routing,tao=0.020000 Round=0,15,19,12,3,3,0,1,2,1|0|0,0.81,0.75351,4,accepted
ZFA_routing,tao=0.020000 Round=0,29,17,20,3,3,0,1,2,0|1|0,0.803616,0.736228,6,accepted
ZFA_routing,tao=0.020000 Round=0,28,15,11,4,4,0,1,2,2|2|1|0,0.803503,0.459325,6,accepted
ZFA_routing,tao=0.020000 Round=0,26,29,11,4,5,1,0,3,4|5|4|4|4,0.819131,0.123809,12,accepted
